Borough Code,DOT street name,CSCL street name,PHYSICALID
4,76 road,76 rd,28267.0
4,76 road,76 rd,28266.0
4,76 road,76 rd,28269.0
4,76 road,76 rd,28270.0
4,76 street,76 st,30840.0
4,76 street,76 st,33656.0
4,76 street,76 st,30839.0
4,76 street,76 st,30836.0
4,76 street,76 st,76847.0
4,76 street,76 st,32632.0
4,76 street,76 st,72445.0
4,76 street,76 st,172261.0
4,76 street,76 st,32624.0
4,76 street,76 st,101649.0
4,76 street,76 st,30837.0
4,76 street,76 st,30835.0
4,76 street,76 st,144803.0
4,76 street,76 st,30841.0
4,76 street,76 st,101648.0
4,76 street,76 st,30834.0
4,76 street,76 st,33658.0
4,76 street,76 st,33655.0
4,76 street,76 st,32627.0
4,76 street,76 st,101675.0
4,76 street,76 st,97010.0
4,76 street,76 st,32628.0
4,76 street,76 st,72444.0
4,76 street,76 st,72440.0
4,76 street,76 st,30833.0
4,76 street,76 st,30844.0
4,76 street,76 st,30843.0
4,76 street,76 st,76844.0
4,76 street,76 st,32623.0
4,76 street,76 st,30528.0
4,76 street,76 st,32621.0
4,76 street,76 st,32620.0
4,76 street,76 st,72441.0
4,76 street,76 st,32629.0
4,76 street,76 st,76846.0
4,76 street,76 st,101172.0
4,76 street,76 st,97834.0
4,76 street,76 st,10152.0
4,76 street,76 st,30527.0
4,76 street,76 st,30842.0
4,76 street,76 st,32634.0
4,76 street,76 st,32622.0
4,76 street,76 st,32626.0
4,76 street,76 st,33657.0
4,76 street,76 st,72442.0
4,76 street,76 st,32617.0
4,76 street,76 st,76845.0
4,76 street,76 st,30838.0
4,76 street,76 st,32631.0
4,76 street,76 st,32630.0
4,76 street,76 st,97009.0
4,76 street,76 st,32633.0
4,76 street,76 st,30529.0
4,76 street,76 st,32619.0
4,76 street,76 st,32618.0
4,76 street,76 st,30526.0
4,76 street,76 st,97011.0
4,76 street,76 st,32625.0
4,76 street,76 st,156345.0
4,76 street,76 st,102654.0
4,77 avenue,77 ave,73576.0
4,77 avenue,77 ave,26016.0
4,77 avenue,77 ave,80746.0
4,77 avenue,77 ave,32523.0
4,77 avenue,77 ave,12754.0
4,77 avenue,77 ave,73577.0
4,77 avenue,77 ave,32517.0
4,77 avenue,77 ave,75768.0
4,77 avenue,77 ave,12759.0
4,77 avenue,77 ave,26010.0
4,77 avenue,77 ave,10700.0
4,77 avenue,77 ave,80750.0
4,77 avenue,77 ave,12756.0
4,77 avenue,77 ave,80751.0
4,77 avenue,77 ave,32522.0
4,77 avenue,77 ave,73572.0
4,77 avenue,77 ave,73575.0
4,77 avenue,77 ave,103239.0
4,77 avenue,77 ave,26012.0
4,77 avenue,77 ave,26014.0
4,77 avenue,77 ave,32519.0
4,77 avenue,77 ave,32518.0
4,77 avenue,77 ave,80745.0
4,77 avenue,77 ave,73573.0
4,77 avenue,77 ave,32525.0
4,77 avenue,77 ave,75769.0
4,77 avenue,77 ave,12757.0
4,77 avenue,77 ave,73571.0
4,77 avenue,77 ave,26011.0
4,77 avenue,77 ave,73578.0
4,77 avenue,77 ave,80749.0
4,77 avenue,77 ave,12755.0
4,77 avenue,77 ave,10701.0
4,77 avenue,77 ave,10702.0
4,77 avenue,77 ave,12758.0
4,77 avenue,77 ave,26015.0
4,77 avenue,77 ave,32521.0
4,77 avenue,77 ave,10419.0
4,77 avenue,77 ave,73579.0
4,77 avenue,77 ave,80748.0
4,77 avenue,77 ave,73574.0
4,77 avenue,77 ave,80747.0
4,77 avenue,77 ave,32516.0
4,77 avenue,77 ave,10703.0
4,77 avenue,77 ave,200791.0
4,77 avenue,77 ave,12760.0
4,77 avenue,77 ave,73580.0
4,77 avenue,77 ave,32524.0
4,77 avenue,77 ave,26013.0
4,77 avenue,77 ave,32520.0
4,77 avenue,77 ave,102474.0
4,77 avenue,77 ave,102475.0
4,77 avenue,77 ave,102686.0
4,77 crescent,77 cres,66246.0
4,77 crescent,77 cres,66245.0
4,77 road,77 rd,90971.0
4,77 road,77 rd,23446.0
4,77 road,77 rd,23801.0
4,77 road,77 rd,23444.0
4,77 road,77 rd,23443.0
4,77 road,77 rd,101727.0
4,77 road,77 rd,23438.0
4,77 road,77 rd,23802.0
4,77 road,77 rd,99703.0
4,77 road,77 rd,23437.0
4,77 road,77 rd,23436.0
4,77 road,77 rd,23439.0
4,77 road,77 rd,23445.0
4,77 road,77 rd,92018.0
4,77 road,77 rd,90970.0
4,77 road,77 rd,23799.0
4,77 road,77 rd,23440.0
4,77 road,77 rd,23442.0
4,77 road,77 rd,23798.0
4,77 road,77 rd,23447.0
4,77 road,77 rd,23441.0
4,77 road,77 rd,23800.0
