,normalized_street_name,Vol
518,3-south 9 street,43.370879120879124
519,3-stanhope street,26.285106382978725
520,3-stanley avenue,37.142857142857146
521,3-state street,40.379120879120876
522,3-stillwell avenue,72.21428571428571
523,3-stillwell avenue bridge,60.23076923076923
524,3-surf avenue,78.60791366906474
525,3-sutter avenue,76.64480347238968
526,3-terrace place,22.0
527,3-thames street,11.264705882352942
528,3-throop avenue,85.48461538461538
529,3-tillary street,186.38553113553112
530,3-tompkins avenue,105.91623036649214
531,3-underhill avenue,11.875
532,3-union avenue,109.42307692307692
533,3-union street bridge,52.66590909090909
534,3-van buren street,21.5625
535,3-van siclen avenue,49.52005347593583
536,3-wakeman place,25.27747252747253
537,3-washington avenue,99.92434662998625
538,3-west 1 street,29.41826923076923
539,3-west drive,11.107142857142858
540,4-103 avenue,130.03636363636363
541,4-105 street,16.67391304347826
542,4-107 avenue,52.17420435510888
543,4-108 street,72.04833836858006
544,4-109 avenue,24.56662087912088
545,4-11 street,88.39882943143813
546,4-111 avenue,40.5156507413509
547,4-111 street,68.32076446280992
548,4-116 avenue,16.428571428571427
549,4-126 street,9.596590909090908
550,4-130 street,35.64418604651163
551,4-131 street,5.833333333333333
552,4-14 avenue,121.73282442748092
553,4-149 place,144.1818181818182
554,4-149 street,42.232142857142854
555,4-150 street,192.55769230769232
556,4-155 street,31.557692307692307
557,4-160 street,34.69913151364764
558,4-161 avenue,3.0
559,4-168 street,43.45398773006135
560,4-169 street,22.211981566820278
561,4-171 street,16.876373626373628
562,4-184 street,23.906902086677366
563,4-188 street,125.47165775401069
564,4-189 street,3.911392405063291
565,4-19 avenue,19.399532710280372
566,4-193 street,6.389473684210526
567,4-21 street,90.19711538461539
568,4-218 place,9.031971580817052
569,4-221 street,54.92609699769053
570,4-223 street,44.177595628415304
571,4-23 avenue,51.94144144144144
572,4-29 street,36.45
573,4-3 avenue,12.934027777777779
574,4-30 avenue,18.89295039164491
575,4-31 avenue,27.512820512820515
576,4-32 avenue,65.60098522167488
577,4-33 street,125.19038461538462
578,4-34 avenue,40.227969348659
579,4-37 avenue,45.79120879120879
580,4-39 avenue,12.071111111111112
581,4-43 avenue,57.166666666666664
582,4-44 avenue,18.727272727272727
583,4-45 avenue,55.755485893416925
584,4-46 avenue,22.573317307692307
585,4-46 street,16.01923076923077
586,4-47 avenue,11.291321171918186
587,4-47 road,19.650379106992418
588,4-47 street,24.666666666666668
589,4-48 avenue,19.66301703163017
590,4-48 street,112.51785714285714
591,4-49 avenue,68.88324873096447
592,4-50 avenue,16.0
593,4-51 street,78.96978021978022
594,4-54 avenue,133.91654465592973
595,4-55 avenue,12.0
596,4-56 street,28.36813186813187
597,4-58 road,4.4
598,4-58 street,100.8119658119658
599,4-59 avenue,20.425824175824175
600,4-63 street,43.15555555555556
601,4-65 place,56.11813186813187
602,4-66 avenue,18.25
603,4-67 avenue,37.38461538461539
604,4-68 street,18.21794871794872
605,4-69 avenue,20.321678321678323
606,4-69 lane,9.310185185185185
607,4-69 road,174.6520979020979
608,4-69 street,111.87709497206704
609,4-72 street,12.923444976076555
610,4-73 place,33.89529914529915
611,4-75 avenue,71.33333333333333
612,4-76 street,65.21153846153847
613,4-77 road,23.873397435897434
614,4-78 street,44.0
615,4-80 street,35.75961538461539
616,4-86 avenue,20.5989010989011
617,4-91 avenue,57.8
618,4-93 avenue,54.2
619,4-94 street,192.39742489270387
620,4-96 street,84.87179487179488
621,4-alderton street,32.5
622,4-archer avenue,170.0
623,4-astoria boulevard,171.3648816936488
624,4-astoria boulevard north,459.50274725274727
625,4-astoria boulevard south,336.989010989011
626,4-atlantic avenue,154.78460620525058
627,4-austin street,35.123931623931625
628,4-baisley boulevard,27.5
629,4-bayside avenue,27.4
630,4-beach 20 street,58.08250620347395
631,4-beach 22 street,33.40384615384615
632,4-beach 29 street,7.347527472527473
633,4-beach 37 street,20.01201923076923
634,4-beach 38 street,8.942307692307692
635,4-beach 41 street,3.4038461538461537
636,4-beach 9 street,35.0
637,4-beach 94 street,5.789685197588748
638,4-beach 95 street,5.577935222672065
639,4-beach channel drive,140.81502636203865
640,4-belt parkway,1141.4926035502958
641,4-belt parkway exit 21 westbound,58.89010989010989
642,4-belt parkway exit 25 a nb,666.0242557883131
643,4-belt parkway exit 25 b nb,562.4615384615385
644,4-belt parkway sb entrance 181 street,102.96428571428571
645,4-berrian boulevard,6.145161290322581
646,4-beverly road,7.384615384615385
647,4-borden avenue,310.95348837209303
648,4-borden avenue bridge,88.20904436860069
649,4-braddock avenue,85.25
650,4-broadway,73.57799145299145
651,4-brooklyn queens expressway,798.3942307692307
652,4-brooklyn queens expwy et 41 wb,45.79807692307692
653,4-caffrey avenue,13.527093596059114
654,4-central avenue,96.16715055993363
656,4-cip nb en southern state parkway,910.6813186813187
657,4-cody avenue,8.008241758241759
658,4-college point boulevard,167.95770804911322
659,4-connector,15.64423076923077
660,4-cooper avenue,90.21088082901555
661,4-crescent street,112.30576923076923
662,4-cross bay boulevard,158.00790166812993
663,4-cross bay parkway,40.0
664,4-cross isl py nb en northern bl,76.10714285714286
665,4-cross island parkway et 25 a sb,554.8851174934725
666,4-cross island parkway sr north,160.8
667,4-cross island parkway sr south,63.638888888888886
668,4-de kalb avenue,34.31184775936157
669,4-ditmars boulevard,220.34222222222223
670,4-dunkirk street,50.2
671,4-eliot avenue,82.15076923076923
672,4-fairview avenue,43.63507109004739
673,4-farmers boulevard,66.67032967032966
674,4-fleet street,38.0
675,4-flushing avenue,23.742279020234292
676,4-flushing bridge,353.9088319088319
677,4-forest park drive,107.85576923076923
678,4-franklin avenue,23.0
679,4-fresh meadow lane,14.476650563607086
680,4-fresh pond road,73.5923076923077
681,4-grand avenue,76.96367521367522
682,4-grand central parkway,1264.082262210797
683,4-grand central parkway et 45 wb,397.9730769230769
684,4-grand central parkway et 5 wb,372.4975450081833
685,4-grand central parkway sr south,81.42857142857143
686,4-grand central parkway wb en 94 street,229.8372093023256
687,4-grand street bridge,70.48783185840708
688,4-guy r brewer boulevard,108.16483516483517
689,4-hartland avenue,3.004120879120879
690,4-hempstead avenue,302.78180619644036
691,4-hillside avenue,232.53689167974883
692,4-himrod street,41.95260663507109
693,4-hollis avenue,50.560673162090346
694,4-hollis court boulevard,61.58860759493671
695,4-hook creek bridge,465.6680537772087
696,4-horace harding expressway sr north,105.64504504504505
697,4-horace harding expressway sr south,126.39209225700165
698,4-hoyt avenue north,305.32239382239385
699,4-hunters point bridge,11.77262443438914
700,4-jackie robinson parkway,426.19539170506914
