normalized_street_name_season,normalized_street_name,roadwork_season,area,total_area,roadwork_factor
1-avenue c_summer_2015,1-avenue c,2015,211216.3,30114.6,7.0138
1-avenue c_summer_2021,1-avenue c,2021,147429.7,30114.6,4.8956
1-avenue c_summer_2022,1-avenue c,2022,414.0,30114.6,0.0137
1-avenue d_summer_2012,1-avenue d,2012,101175.2,9963.3,10.1548
1-avenue d_summer_2016,1-avenue d,2016,67390.4,9963.3,6.7639
1-avenue d_summer_2020,1-avenue d,2020,105448.0,9963.3,10.5836
1-avenue d_summer_2022,1-avenue d,2022,246.0,9963.3,0.0247
1-avenue of the finest_summer_2009,1-avenue of the finest,2009,18123.1,3405.8,5.3212
1-bank street_summer_2023,1-bank street,2023,204.0,6194.7,0.0329
1-barclay street_summer_2019,1-barclay street,2019,22171.7,7589.0,2.9216
1-barrow street_summer_2012,1-barrow street,2012,7377.7,7001.0,1.0538
1-barrow street_summer_2023,1-barrow street,2023,144.0,7001.0,0.0206
1-baruch place_summer_2014,1-baruch place,2014,20986.4,1494.1,14.0462
1-baruch place_summer_2022,1-baruch place,2022,378.0,1494.1,0.253
1-battery place_summer_2012,1-battery place,2012,147986.5,9949.6,14.8736
1-battery place_summer_2018,1-battery place,2018,25622.5,9949.6,2.5752
1-battery place_summer_2020,1-battery place,2020,75386.6,9949.6,7.5768
1-baxter street_summer_2012,1-baxter street,2012,22576.4,5463.1,4.1325
1-baxter street_summer_2019,1-baxter street,2019,13234.2,5463.1,2.4225
1-baxter street_summer_2022,1-baxter street,2022,113.0,5463.1,0.0207
1-baxter street_summer_2024,1-baxter street,2024,172.0,5463.1,0.0315
1-bayard street_summer_2010,1-bayard street,2010,4043.1,3044.0,1.3282
1-beach street_summer_2023,1-beach street,2023,352.0,3713.3,0.0948
1-beaver street_summer_2010,1-beaver street,2010,2016.7,3040.2,0.6633
1-beaver street_summer_2016,1-beaver street,2016,15454.0,3040.2,5.0832
1-beaver street_summer_2022,1-beaver street,2022,75.0,3040.2,0.0247
1-beaver street_summer_2025,1-beaver street,2025,6339.0,3040.2,2.0851
1-bedford street_summer_2008,1-bedford street,2008,3497.1,4583.6,0.763
1-bedford street_summer_2012,1-bedford street,2012,1888.0,4583.6,0.4119
1-bedford street_summer_2022,1-bedford street,2022,66.0,4583.6,0.0144
1-beekman place_summer_2013,1-beekman place,2013,1603.3,1059.1,1.5138
1-bend_summer_2022,1-bend,2022,8383.0,,
