normalized_street_name,Vol
3-fulton street,62.959030100334445
3-furman street,53.15384615384615
3-georgia avenue,40.22857142857143
3-glenwood road,39.10042735042735
3-gowanus ep wb en fort hamilton py,230.73076923076923
3-gowanus ep wb en hugh carey tnnl,378.6923076923077
3-gowanus expressway,867.526923076923
3-gowanus expressway exit 16 eb,501.0
3-gowanus expressway exit 24 wb,183.9145299145299
3-gowanus expwy wb en hamilton avenue,68.38216560509554
3-grand avenue,69.35830618892508
3-grand street,59.13873626373626
3-grand street bridge,74.41573033707866
3-greene avenue,23.620092378752886
3-greenpoint avenue,149.1179487179487
3-halsey street,36.77777777777778
3-hamilton avenue,248.79250720461096
3-hamilton avenue bridge,629.6365663322185
3-hancock street,51.56490384615385
3-harman street,30.502512562814072
3-hicks street,41.54545454545455
3-homecrest avenue,7.735576923076923
3-howard avenue,72.36541889483065
3-humboldt street,77.6
3-irving avenue,52.263565891472865
3-jackie robinson parkway,524.9172185430464
3-jamaica avenue,147.30769230769232
3-jay street,51.48076923076923
3-jefferson avenue,37.35576923076923
3-jj byrne memorial bridge,157.8083441981747
3-johnson avenue,61.92323651452282
3-kent street,13.822115384615385
3-kings highway,62.015916575192094
3-kingston avenue,73.63873626373626
3-knickerbocker avenue,57.77479892761394
3-kosciuszko bridge,1149.4423076923076
3-lafayette avenue,61.42307692307692
3-lincoln road,126.97727272727273
3-linden boulevard,112.44839800354211
3-linden street,41.64054848188051
3-livingston street,52.98076923076923
3-livonia avenue,20.853582554517136
3-lorimer street,36.050824175824175
3-loring avenue,53.57932692307692
3-lorraine street,9.896153846153846
3-mac dougal street,23.975124378109452
3-mackenzie street,12.75
3-malcolm x boulevard,46.365642994241846
3-manhattan avenue,46.55769230769231
3-marcy avenue,122.79258241758242
3-marion street,22.953488372093023
3-mc donald avenue,54.1664201183432
3-mc guinness boulevard,213.58184764991896
3-mc guinness boulevard south,155.26923076923077
3-meeker avenue,118.24568965517241
3-metropolitan avenue,110.15915119363395
3-metropolitan avenue bridge,208.23435843054082
3-mill basin bridge,933.7692307692307
3-monitor street,27.931318681318682
3-montgomery street,23.061191626409016
3-morgan avenue,53.18859649122807
3-myrtle avenue,69.79665071770334
3-nassau avenue,76.04288499025341
3-neptune avenue,115.17074644907827
3-nevins street,100.95054945054945
3-new utrecht avenue,50.21153846153846
3-new york avenue,92.15
3-newel street,16.52980132450331
3-north 14 street,28.384615384615383
3-north conduit avenue,256.1730769230769
3-nostrand avenue,144.6517094017094
3-ocean avenue,118.5264423076923
3-ocean parkway,104.40141271442987
3-ocean view avenue,67.21014492753623
3-old fulton street,75.01923076923077
3-pacific street,39.14779874213836
3-parkside avenue,178.27945205479452
3-pennsylvania avenue,93.78983516483517
3-pitkin avenue,85.5
3-president street,4.0
3-prospect avenue,179.88291139240508
3-prospect expressway,525.803448275862
3-prospect park southwest,69.01538461538462
3-prospect street,8.096153846153847
3-provost street,65.96153846153847
3-pulaski bridge,208.33164983164983
3-ralph avenue,142.47596153846155
3-remsen avenue,120.5576923076923
3-richardson street,4.78021978021978
3-ridge boulevard,42.666666666666664
3-rochester avenue,63.161764705882355
